;UUID;Title Geocat;All Keywords Geocat;Keyword BGDI;Bundesamt Geocat;Organisation Geocat;Published Geocat;TECHPUBLAYER;GDSKEY;REMARKS;HASWMTSSERVICE;HASWMSSERVICE;HASFREEWMSSERVICE;HASRAWPACKAGESERVICE;ISPUBLISHEDINAPI;ISPUBLISHEDINONLINEVIEWER
23;2a701f93-3bd3-4068-a6a8-59d7383a3b30;Bundesinventar der Amphibienlaichgebiete von nationaler Bedeutung - Anhang 3;Umwelt, Lebensräume und Biotope, Schutzgebiete;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.bundesinventare-amphibien_anhang4;AMPHIBIENLAICHGEBIETE_ANHANG4;;True;False;True;True;True;True
24;36a55486-04be-4533-9936-9c05407114a1;Bundesinventar der Amphibienlaichgebiete von nationaler Bedeutung - Wanderobjekte;Geobasisdaten, e-geo.ch, opendata.swiss, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Umwelt, Lebensräume und Biotope, Schutzgebiete;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.bundesinventare-amphibien_wanderobjekte;AMPHIBIENLAICHGEB_WANDEROBJ;;True;False;True;True;True;True
25;8dc1e2a5-eab0-467a-a570-d994830f8340;Amphibienwanderungen mit Verkehrskonflikten;Verkehr, Umwelt, Überquerung für Tiere, Amphibien, Verkehrsnetze, Lebensräume und Biotope;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.amphibienwanderung-verkehrskonflikte;AMPHIBIENWANDERUNGEN_KONFLIKTE;;True;False;True;True;True;True
26;150c38c5-2650-4018-b5c7-939e2cdd56ce;Amtliches Verzeichnis der Gebäudeadressen;BGDI Bundesgeodaten-Infrastruktur, Strassenname, Gebäudeadresse, Gebäudeadressen, Geobasisdaten, Amtliche Vermessung AV, opendata.swiss, Register, Adressen, Gebäude, Wohnung;yes;swisstopo;Geodäsie und Eidgenössische Vermessungsdirektion;yes;ch.swisstopo.amtliches-gebaeudeadressverzeichnis;AMTL_GEBAEUDEADRESSVERZEICHNIS;;False;False;True;True;True;True
27;caf39a72-92be-4bd1-a976-4eaaeb770a44;Amtliches Verzeichnis der Strassen;Amtliche Vermessung AV, Strassenachse, Gebäudeadressen, opendata.swiss, BGDI Bundesgeodaten-Infrastruktur, Strasse, Geobasisdaten, Strassennetz, Strassenname, Adressen;yes;swisstopo;Geodäsie und Eidgenössische Vermessungsdirektion;yes;ch.swisstopo.amtliches-strassenverzeichnis;AMTL_STRASSENVERZEICHNIS;;False;False;True;True;True;True
28;dda92878-86a1-4191-a073-9721671d6bc1;Bestand der Anlagen für den Schienengüterverkehr gemäss Konzept für den Gütertransport auf der Schiene;Gütertransport, Schienenverkehr, Verkehr, Planung, opendata.swiss, Geobasisdaten, Aufbewahrungs- und Archivierungsplanung AAP - Bund;no;BAV;Bundesamt für Verkehr;yes;ch.bav.anlagen-schienengueterverkehr;ANLAGEN_SCHIENENGUETERVERKEHR;;False;False;True;True;True;True
29;cff2a951-b5ec-4a51-a0f2-f89dd90e5782;Blatteinteilung Schwerekarte (Bouguer-Anomalien) 1:500000;Geophysik, Bouguer-Anomalien, Geophysikalische Karte, e-geo.ch, Gravimetrie, Geologie;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.geologie-geodaesie-bouguer_anomalien_papier.metadata;ANOMALIEN_BOUGUER_PAPIER;Für Shop BGDI;False;False;True;False;True;True
30;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd;5G Mobilfunknetze (NR) - Antennenstandorte;Antenne, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Mobiltelefonie, opendata.swiss, Geobasisdaten, Versorgungswirtschaft und staatliche Dienste;no;BAKOM;Bundesamt für Kommunikation;yes;ch.bakom.mobil-antennenstandorte-5g;ANTENNENKATASTER_MOBIL;;False;False;True;True;True;True
31;312ddf6a-52b1-4bd9-9610-f0e3707dedff;3G Mobilfunknetze (UMTS) - Antennenstandorte;Antenne, Mobiltelefonie, Geobasisdaten, Aufbewahrungs- und Archivierungsplanung AAP - Bund, opendata.swiss, Versorgungswirtschaft und staatliche Dienste;no;BAKOM;Bundesamt für Kommunikation;yes;ch.bakom.mobil-antennenstandorte-umts;ANTENNENKATASTER_MOBIL;;False;False;True;True;True;True
32;1d7e059a-3d60-4876-905c-722cb469ac1d;Mobilfunknetze 2G (GSM) - Antennenstandorte;Mobiltelefonie, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Geobasisdaten, opendata.swiss, Antenne, Versorgungswirtschaft und staatliche Dienste;no;BAKOM;Bundesamt für Kommunikation;yes;ch.bakom.mobil-antennenstandorte-gsm;ANTENNENKATASTER_MOBIL;;False;False;True;True;True;True
33;4399b61b-23d9-49a8-ba8b-dd2452adbc7c;4G Mobilfunknetze (LTE) - Antennenstandorte;opendata.swiss, Mobiltelefonie, Geobasisdaten, Antenne, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Versorgungswirtschaft und staatliche Dienste;no;BAKOM;Bundesamt für Kommunikation;yes;ch.bakom.mobil-antennenstandorte-lte;ANTENNENKATASTER_MOBIL;;False;False;True;True;True;True
34;7609e210-80c7-4acc-b7b4-b569f0e5679e;Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 500 Jahre;Naturrisiko, Naturgefahr, Naturrisikoanalyse, Gebiete mit naturbedingten Risiken;no;BAFU;Abteilung Gefahrenprävention, Bundesamt für Umwelt;yes;ch.bafu.aquaprotect_500;AQUAPROTECT;;False;False;False;False;False;True
35;a889473d-cbe4-454c-838b-aac6b174e46e;Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 250 Jahre;Naturrisikoanalyse, Naturrisiko, Naturgefahr, Gebiete mit naturbedingten Risiken;no;BAFU;Abteilung Gefahrenprävention, Bundesamt für Umwelt;yes;ch.bafu.aquaprotect_250;AQUAPROTECT;;False;False;False;False;False;True
36;e7f4931d-2010-4ab2-b4ef-edbc47074ca9;Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 50 Jahre;Naturrisikoanalyse, Naturrisiko, Gebiete mit naturbedingten Risiken;no;BAFU;Abteilung Gefahrenprävention, Bundesamt für Umwelt;yes;ch.bafu.aquaprotect_050;AQUAPROTECT;;False;False;False;False;False;True
37;a71453bf-e515-4f70-98cc-c939510dd4b1;Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 100 Jahre;Naturgefahr, Naturrisiko, Naturrisikoanalyse, Gebiete mit naturbedingten Risiken;no;BAFU;Abteilung Gefahrenprävention, Bundesamt für Umwelt;yes;ch.bafu.aquaprotect_100;AQUAPROTECT;;False;False;False;False;False;True
38;c80d9b2e-522e-45cb-a587-c5fe028d63df;Kläranlagendatenbank (ARA-DB) - Reinigungstyp;GEWISS;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.gewaesserschutz-klaeranlagen_reinigungstyp;ARA_DB;;True;False;True;True;True;True
39;5e06e47a-8d78-440f-b98e-e46cfa52c474;Kläranlagendatenbank (ARA-DB) - Ausbaugrösse (EGW);GEWISS;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.gewaesserschutz-klaeranlagen_ausbaugroesse;ARA_DB;;True;False;True;True;True;True
40;4e8a2a6b-9ede-4107-9b50-6e9af7389144;Kläranlagendatenbank (ARA-DB) - Prozentanteil Abwasser im Vorfluter bei Niedrigwasser;GEWISS;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.gewaesserschutz-klaeranlagen_anteilq347;ARA_DB;;True;False;True;True;True;True
41;f03f085a-6bff-4063-b664-5546e32ba2e2;Hintergrunddaten Arealstatistik;Luftbildinterpretation, Geobasisdaten, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Kartografische Generalisierung, e-geo.ch, Bodennutzung, Bodenbedeckung, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-hintergrund;AREALSTATISTIK;;True;False;True;False;True;True
42;1c6bc7a0-b243-49f0-9078-6576b37716b7;Arealstatistik 1979/85 nach Bodenbedeckungsnomenklatur NOLC04;Bodenbedeckung, Bodennutzung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-bodenbedeckung-1985;AREALSTATISTIK;;True;False;True;False;True;True
43;af74a95b-7295-47b8-8cfe-795e9a09a086;Arealstatistik 1992/97 nach Bodenbedeckungsnomenklatur NOLC04;Bodenbedeckung, Bodennutzung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-bodenbedeckung-1997;AREALSTATISTIK;;True;False;True;False;True;True
44;b53c03bb-a168-491f-b266-c7e9ec0af320;Arealstatistik 2004/09 nach Bodenbedeckungsnomenklatur NOLC04;Bodenbedeckung, Bodennutzung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-bodenbedeckung;AREALSTATISTIK;;True;False;True;False;True;True
45;260bbbe0-0c10-4a31-b566-cd0d6f143a09;Arealstatistik 1992/97 nach Standardnomenklatur NOAS04;Bodennutzung, Bodenbedeckung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-1997;AREALSTATISTIK;;True;False;True;False;True;True
46;8ac687ee-ad27-4ac7-8c1c-b64abee9e3b3;Arealstatistik 2004/09 nach Standardnomenklatur NOAS04;Bodenbedeckung, Bodennutzung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik;AREALSTATISTIK;;True;False;True;False;True;True
47;5082c28a-33cc-47d6-a577-a6118238def5;Arealstatistik 2004/09 nach Bodennutzungsnomenklatur NOLU04;Bodennutzung, Bodenbedeckung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-bodennutzung;AREALSTATISTIK;;True;False;True;False;True;True
48;0dff304b-d90c-4f9c-bd9d-f3c315a128c2;Arealstatistik 1979/85 nach Standardnomenklatur NOAS04;Bodenbedeckung, Bodennutzung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-1985;AREALSTATISTIK;;True;False;True;False;True;True
49;f954beeb-7f1e-44a4-b975-19ea9b8c369f;Arealstatistik 1979/85 nach Bodennutzungsnomenklatur NOLU04;Bodennutzung, Bodenbedeckung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-bodennutzung-1985;AREALSTATISTIK;;True;False;True;False;True;True
50;5257c12e-bb39-4983-a98a-8103cb3f1611;Arealstatistik 1992/97 nach Bodennutzungsnomenklatur NOLU04;Bodenbedeckung, Bodennutzung, Luftbildinterpretation, Vegetation;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-bodennutzung-1997;AREALSTATISTIK;;True;False;True;False;True;True
51;116447b0-31b0-477c-9203-9f51d43e4ac5;Arealstatistik Waldmischungsgrad 1990;e-geo.ch, Geobasisdaten, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Laubwald, Mischwald, Wald, Digitale Bildverarbeitung, Nadelwald, Klassifikation, Fernerkundung, Satellitenbild, Waldökosystem, Bodenbedeckung;no;BFS;Bundesamt für Statistik;yes;ch.bfs.arealstatistik-waldmischungsgrad;AREALSTATISTIK;;True;False;True;False;True;True
52;5b5b3700-245d-4c15-aabb-5fb177860db5;Bundesinventar der Auengebiete von nationaler Bedeutung - Anhang 2;e-geo.ch, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Geobasisdaten, opendata.swiss, Umwelt, Schutzgebiete, Lebensräume und Biotope;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.bundesinventare-auen_anhang2;AUENGEBIETE;;True;False;True;True;True;True
53;24ff96e5-0cda-485b-9ec0-365960a11190;Vegetation alpine Auen;Umwelt;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.bundesinventare-auen_vegetation_alpin;AUENGEBIETE;;True;False;True;True;True;True
54;d47dffc7-8072-40c2-bbf7-4fb47367bd29;Bundesinventar der Auengebiete von nationaler Bedeutung;e-geo.ch, Aufbewahrungs- und Archivierungsplanung AAP - Bund, opendata.swiss, Geobasisdaten, Umwelt, Lebensräume und Biotope, Schutzgebiete;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.bundesinventare-auen;AUENGEBIETE;;True;False;True;True;True;True
55;feff7d50-4917-40d0-bcbe-675680d4aa0e;Auengebiete ausserhalb Bundesinventar;Lufthygiene, Umwelt, Lebensräume und Biotope, Schutzgebiete, e-geo.ch;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.auen-ausserhalb_bundesinventar;AUEN_AUSSERHALB_INVENTAR;;True;False;True;True;True;True
56;ecee1c92-9d66-41c7-af14-900902f54527;Alpine Auengebiete ausserhalb Bundesinventar;Biotopflächen, Gewässerraum, Umwelt, Lebensräume und Biotope, Schutzgebiete, e-geo.ch;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.auen-ausserhalb_bundesinventar_alpin;AUEN_AUSSERHALB_INVENTAR;;True;False;True;True;True;True
57;a3c0f7fb-1be0-4385-9c54-33b65ae3e1ae;Amtliche Vermessung (OpenData);Bodenbedeckung, Flurstücke/Grundstücke (Katasterparzellen), Gebäude, Liegenschaft, Amtliche Vermessung AV, Einzelobjekt, opendata.swiss, Grundbuch;no;swisstopo;Geodäsie und Eidgenössische Vermessungsdirektion;yes;ch.swisstopo-vd.amtliche-vermessung;AV_OPENDATA;;False;False;True;True;True;True
58;5601eb96-45cb-40a4-a595-2ec0ebda8e8c;Badegewässerqualität;GEWISS;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.gewaesserschutz-badewasserqualitaet;BADEWASSERQUALITAET;;True;False;True;True;True;True
59;85b7cf2d-0feb-4e75-81d7-9e245ec4bf24;Karte der aktuellen Erdbeben (letzte 90 Tage) in der Schweiz und im grenznahen Ausland;Erdbeben, opendata.swiss, Landsat, Gebiete mit naturbedingten Risiken;no;BAFU;Abteilung Gefahrenprävention, Bundesamt für Umwelt;yes;ch.bafu.gefahren-aktuelle_erdbeben;BAFU_GEFAHREN_AKTUELLE_ERDBEBEN;Tooltips from get feature info;False;False;False;False;False;True
60;93814e81-2466-4690-b54d-c1d958f1c3b8;Lärmbelastung durch Eisenbahnverkehr (Lr_Nacht);e-geo.ch, opendata.swiss, Geobasisdaten, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Lärmwirkung, Lärmpegel, Lärmimmission, Lärmbelastung, Verkehrslärm, Lärmbekämpfung, Gesundheit und Sicherheit;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.laerm-bahnlaerm_nacht;BAHNLAERM;;False;False;False;True;False;True
61;c335f61e-1e94-4a59-b0e7-94bb158f5a48;Lärmbelastung durch Eisenbahnverkehr (Lr_Tag);e-geo.ch, Geobasisdaten, Aufbewahrungs- und Archivierungsplanung AAP - Bund, opendata.swiss, Verkehrslärm, Lärmpegel, Lärmimmission, Lärmbekämpfung, Lärmbelastung, Lärmwirkung, Gesundheit und Sicherheit;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.laerm-bahnlaerm_tag;BAHNLAERM;;False;False;False;True;False;True
62;9e574967-a470-4f33-b635-b7badb0b30a3;Basiskarte der Gemeinsamen Informationsplattform Naturgefahren;Umwelt;no;BAFU;Bundesamt für Umwelt;yes;ch.bafu.gefahren-basiskarte;BASISKARTE_GIN;;True;False;True;False;True;True
63;bd377507-c61d-4fe2-bf81-9605b405d8ad;Basismessnetz Oberflächengewässer;Umwelt, Umweltüberwachung, opendata.swiss;no;BAFU;Bundesamt für Umwelt / Abteilung Hydrologie;yes;ch.bafu.hydrologie-hydromessstationen;BASISMESSNETZ_OBERFL_GEWAESSER;;True;False;True;True;True;True
64;7d5efc01-24bc-47e5-aa9a-b3a7faf4e697;Baulinien Eisenbahnanlagen OeREB;Öffentlicher Verkehr, Eisenbahn, Baulinie, ÖREB;no;BAV;Bundesamt für Verkehr;yes;ch.bav.baulinien-eisenbahnanlagen.oereb;BAULINIEN_EISENBAHNANLAGEN;empty layer: no data. Published in Oereb Feature Service only!;False;False;True;True;True;False
65;01abfa32-9cc8-40d4-b733-18ec699f58aa;Baulinien Flughafenanlagen OeREB;Baulinie, ÖREB, Flughafen, Verkehrsnetze, Bewirtschaftungsgebiete/Schutzgebiete/geregelte Gebiete und Berichterstattungseinheiten;no;BAZL;Bundesamt für Zivilluftfahrt;yes;ch.bazl.baulinien-flughafenanlagen.oereb;BAULINIEN_FLUGHAFENANLAGEN;empty layer: no data. Published in Oereb Feature Service only!;False;False;True;True;True;False
66;fce3b347-cc58-4b29-bb87-a35eed4487ea;Baulinien Nationalstrassen;Nationalstrasse, Baulinie, Geobasisdaten, opendata.swiss, Aufbewahrungs- und Archivierungsplanung AAP - Bund;no;ASTRA;Bundesamt für Strassen;yes;ch.astra.baulinien-nationalstrassen;BAULINIEN_NATIONALSTRASSEN;;False;False;True;True;True;True
67;beae456f-d664-476e-95f5-d9adf20fd6bf;Baulinien Nationalstrassen OeREB;Baulinie, opendata.swiss, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Nationalstrasse, Geobasisdaten, ÖREB;no;ASTRA;Bundesamt für Strassen;yes;ch.astra.baulinien-nationalstrassen.oereb;BAULINIEN_NATIONALSTRASSEN;;False;False;True;True;True;False
68;055192b1-c378-4e66-8d43-c926f0be7980;Bauzonen Schweiz (harmonisiert);Verwaltungseinheiten, Bodennutzung, Statistische Einheiten;no;ARE;Bundesamt für Raumentwicklung;yes;ch.are.bauzonen;BAUZONEN;;True;False;True;False;True;True
