TECHPUBLAYERNAME,GEOCATUUID,STATUS (ZS),INGESTSTATE,TIMESTANDDATE,
ch.swisstopo.vec200-miscellaneous,2ba45ce9-b062-4792-95ba-9bbc8d840652,Published,Productive,2022-10-19 00:00:00,A
ch.bafu.grundwasserkoerper,2bd1ab86-83ec-4c3e-b937-ab81b4968bc6,Published,Productive,2017-01-01 00:00:00,A
ch.bafu.landesforstinventar-baumarten,2becd196-f84c-436d-a47e-4ae28545b185,Published,Decommissioned,2010-03-10 00:00:00,C
ch.swisstopo.images-landsat25,2c8e0a96-67ea-4a6d-86eb-88f8272e0639,Published,NotProductive,1994-01-01 00:00:00,B
ch.bafu.neophyten-brasilianisches_tausendblatt,2ce40229-35b5-4374-9346-ac4b1ce6d374,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.bundesinventare-hochmoore,2ce98519-dd40-4cc1-bd95-8f4234d78492,Published,Productive,2017-11-01 00:00:00,A
ch.bav.laermbelastung-eisenbahn_festgelegte_emissionen_tag,2d35d97f-e7b9-4d40-8654-d6adfaf26240,Published,Productive,2021-09-01 00:00:00,A
ch.bazl.laermbelastungskataster-zivilflugplaetze,2d67327c-6b64-406d-9441-3c0478357d50,Published,Productive,2022-06-30 00:00:00,A
ch.swisstopo.geologie-geophysik-geothermie,2d8174b2-8c4a-44ea-b470-cb3f216b90d1,Published,Productive,2011-11-21 00:00:00,A
ch.vbs.phoenix-europa-grenzen,2d96c4f0-c597-4c00-b346-8593b8b905d3,InProgress,NotProductive,2019-04-10 00:00:00,B
ch.swisstopo.geologie-tiefengeothermie_projekte,2df11e59-d85a-40cf-98cf-4b941577e23c,InProgress,Productive,2023-01-20 00:00:00,A
ch.bafu.landesforstinventar-waldanteil,2dfdf39c-ad93-4531-aa78-3e93e2cc3744,Published,Decommissioned,2010-03-10 00:00:00,C
ch.astra.unfaelle-personenschaeden_motorraeder,2e3c55c6-b8cf-4822-bdd4-2fd368697c93,Published,Productive,2022-02-27 00:00:00,A
ch.bfs.betriebs-unternehmensregister-erdoelinfrastrukturen,2e7dba5c-691c-4a94-a868-134031f442c5,Published,Productive,2019-06-14 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_feb,2ed54e2b-e0da-406b-a7d0-5b0fbcd7f62b,Published,Productive,2019-04-01 00:00:00,A
ch.med.bahnuebergang,2ed8f931-8a3d-46bf-a3ff-d11b2bb8e9d3,InProgress,Productive,2022-04-13 00:00:00,A
ch.swisstopo.geologie-gravimetrischer_atlas_papier.metadata,2f9315dd-3d8f-4248-850c-46270e47dfe7,Published,Decommissioned,2002-12-31 00:00:00,C
ch.vbs.waldschadenkarte,2ff2299e-55b5-4ec7-bb92-fbb06e7ee422,Published,Productive,2021-08-31 00:00:00,A
ch.nagra.aeromagnetische-karte_1100,2ffdbb13-27dc-4380-8349-8debfeca4fd9,Published,Productive,1982-12-31 00:00:00,A
ch.bafu.wasser-vorfluter,300a3547-7b21-40a1-85d4-5d5387e81afc,Published,Productive,2019-12-01 00:00:00,A
ch.swisstopo.swiss-map-vector25.metadata,30421285-422d-4dd8-b16b-cada46c71b7f,Published,Decommissioned,2020-09-01 00:00:00,C
ch.bafu.vec25-gewaessernetz_2000,30b22e49-7ef5-4fa6-b957-7b38cc3beb27,Published,Productive,2007-01-01 00:00:00,A
ch.bakom.notruf-147_festnetz,30bb29fc-55ec-4c10-a504-dc650c135b09,Published,Productive,2021-06-01 00:00:00,A
ch.bafu.fischerei-aeschen_larvenhabitate,30c248d4-46c6-4afc-a949-d26623c8b0e6,Published,Productive,2011-08-29 00:00:00,A
